results45_45_1_10000_10,7644.616000,2757.557323
results50_50_1_10000_20,6568.242000,2779.715786
results50_50_0_10000_40,9854.798000,877.800935
results50_50_0_10000_10,9886.336000,742.102814
results35_35_1_10000_10,7611.806000,2680.573681
results40_40_1_10000_10,6443.748000,2735.766887
results20_20_1_10000_10,6853.000000,2683.697832
results50_50_1_10000_10,6524.752000,2860.408897
results30_30_1_10000_10,6851.732000,2656.666929
results50_50_0_10000_30,9848.744000,933.992573
results15_15_1_10000_10,5666.312000,2669.955762
results50_50_1_10000_50,6546.426000,2658.289416
results50_50_1_10000_1,6764.498000,2818.557021
results50_50_1_10000_40,6730.796000,2751.210514
results10_10_1_10000_10,1061.060000,1132.586576
results50_50_0_10000_50,9847.808000,812.848559
results50_50_0_10000_20,9771.748000,1104.612783
results50_50_0_10000_1,6.248000,3.225290
results50_50_1_10000_30,6498.464000,2800.097598
results25_25_1_10000_10,7450.840000,2737.132306
